"Year","Variables","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2023","Indicative Petrol Price- (GHS/Litre) - Monthly Average","14.12","14.06","13.20","12.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Indicative Diesel Price- (GHS/Litre) - Monthly Average","14.97","14.70","13.49","13.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","International Gold Price (US$/fine ounce) - Monthly Average","1,899.98","1,858.94","1,912.51","2,000.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","83.94","83.92","79.65","82.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","International Cocoa Price (US$/Tonne) - Monthly Average","2,612.80","2,677.79","2,791.04","2,924.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2022","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","85.48","94.28","112.51","105.81","111.55","117.22","105.14","97.74","90.57","93.60","90.38","81.34"
"2022","Indicative Petrol Price- (GHS/Litre) - Monthly Average","6.68","7.55","9.05","9.30","9.47","10.62","11.27","10.88","11.13","12.29","17.43","16.58"
"2022","International Gold Price (US$/fine ounce) - Monthly Average","1,816.43","1,857.11","1,949.43","1,935.24","1,849.50","1,837.07","1,737.13","1,763.71","1,682.12","1,666.68","1,726.39","1,796.21"
"2022","Indicative Diesel Price- (GHS/Litre) - Monthly Average","6.69","7.56","9.46","10.43","11.46","13.00","13.85","13.26","14.25","15.18","22.58","19.61"
"2022","International Cocoa Price (US$/Tonne) - Monthly Average","2,545.86","2,681.11","2,591.26","2,588.10","2,484.48","2,428.38","2,333.55","2,385.96","2,338.67","2,337.71","2,469.10","2,538.57"
"2021","Indicative Diesel Price- (GHS/Litre) - Monthly Average","4.91","5.01","5.25","5.32","5.91","6.00","6.11","6.12","6.18","6.50","6.79","6.67"
"2021","Indicative Petrol Price- (GHS/Litre) - Monthly Average","4.91","5.03","5.25","5.32","5.91","6.00","6.11","6.12","6.18","6.49","6.79","6.66"
"2021","International Brent Crude Oil Price (US$/Barrel) - Monthly Average","55.33","62.27","65.84","65.33","68.34","73.35","74.29","70.51","74.88","83.75","80.75","74.80"
"2021","International Gold Price (US$/fine ounce) - Monthly Average","1,867.04","1,810.34","1,722.49","1,759.21","1,849.28","1,835.15","1,805.15","1,785.67","1,778.29","1,775.58","1,818.44","1,790.90"
"2021","International Cocoa Price (US$/Tonne) - Monthly Average","2,523.95","2,508.84","2,520.78","2,419.48","2,450.45","2,407.50","2,354.43","2,555.86","2,627.18","2,632.62","2,504.59","2,481.95"
