"Year","Variables","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2023","Credit  to Deposits  (%) (From Aug 2018, credit excl loans under receivership)","43.17","41.11","40.07","39.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Core Liquid Assets to Total Assets  (%)","27.95","28.04","25.12","29.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Core Liquid Assets to Short-term Liabilities  (%)","35.12","34.50","30.44","35.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Return On Assets (ROA) -  Before Tax  (%)","5.43","5.07","5.57","5.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Non Performing Loans  (%)","15.67","16.56","16.85","18.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Return On Equity (ROE)  -  After Tax  (%)","32.10","32.39","36.79","36.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Capital Adequacy Ratio (%)","14.36","12.60","14.20","14.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2022","Capital Adequacy Ratio (%)","19.32","19.56","21.31","21.33","20.62","19.35","18.57","17.80","16.31","14.18","14.74","16.56"
"2022","Non Performing Loans  (%)","14.22","14.40","14.42","14.30","14.40","14.06","14.20","14.30","14.05","13.96","14.08","14.79"
"2022","Core Liquid Assets to Short-term Liabilities  (%)","26.55","24.19","27.59","28.22","28.65","30.18","30.74","31.08","31.54","34.41","35.14","35.26"
"2022","Core Liquid Assets to Total Assets  (%)","20.40","18.57","21.25","21.70","22.10","23.36","23.87","23.93","24.44","27.22","27.92","27.73"
"2022","Return On Assets (ROA) -  Before Tax  (%)","4.52","4.27","4.68","4.68","4.65","4.59","4.64","4.68","4.50","4.02","4.04","3.08"
"2022","Return On Equity (ROE)  -  After Tax  (%)","22.22","21.46","22.13","22.30","22.37","21.94","22.67","23.02","21.91","20.23","20.67","14.58"
"2022","Credit  to Deposits  (%) (From Aug 2018, credit excl loans under receivership)","44.48","45.76","46.06","47.35","48.53","48.25","47.41","48.36","48.32","47.20","46.84","44.33"
"2021","Credit  to Deposits  (%) (From Aug 2018, credit excl loans under receivership)","46.06","45.74","44.65","45.65","45.10","43.10","43.21","43.80","43.97","43.92","43.42","44.42"
"2021","Core Liquid Assets to Short-term Liabilities  (%)","26.20","26.50","26.90","24.90","25.50","27.50","27.80","24.70","25.30","24.60","24.40","25.90"
"2021","Core Liquid Assets to Total Assets  (%)","19.80","19.90","20.30","18.60","19.10","20.70","20.90","18.60","19.10","18.90","18.70","20.00"
"2021","Return On Assets (ROA) -  Before Tax  (%)","4.90","4.40","4.70","4.60","4.50","4.70","4.60","4.60","4.60","4.40","4.40","4.50"
"2021","Return On Equity (ROE)  -  After Tax  (%)","25.60","22.10","22.40","21.10","20.90","21.20","21.30","21.00","21.10","19.80","21.10","20.60"
"2021","Non Performing Loans  (%)","14.70","15.30","15.50","15.50","16.80","17.00","17.00","17.30","16.80","16.40","16.00","15.20"
"2021","Capital Adequacy Ratio (%)","20.50","20.20","21.10","21.80","21.60","20.70","20.60","20.70","19.90","19.80","19.70","19.60"
"2020","Core Liquid Assets to Short-term Liabilities  (%)","28.82","31.32","31.91","30.12","30.62","29.18","30.10","28.99","29.60","27.04","25.39","27.76"
"2020","Credit  to Deposits  (%) (From Aug 2018, credit excl loans under receivership)","56.35","55.25","53.32","53.02","51.28","49.94","48.82","49.08","46.97","47.27","47.03","46.02"
"2020","Core Liquid Assets to Total Assets  (%)","22.41","24.17","23.89","22.47","22.72","21.71","22.38","20.91","22.29","20.53","19.12","21.15"
"2020","Return On Assets (ROA) -  Before Tax  (%)","5.01","4.87","4.30","3.87","3.86","4.13","4.22","1.61","4.22","4.24","4.24","4.36"
"2020","Capital Adequacy Ratio (%)","18.10","20.20","21.20","20.90","21.30","21.20","21.50","20.90","20.30","20.00","20.02","19.83"
"2020","Return On Equity (ROE)  -  After Tax  (%)","26.61","25.46","21.20","18.88","19.11","20.58","21.21","7.95","21.00","21.23","20.95","21.40"
"2020","Non Performing Loans  (%)","13.57","13.79","14.49","14.96","15.21","15.65","16.08","15.46","15.77","15.32","15.37","14.82"
"2019","Credit  to Deposits  (%) (From Aug 2018, credit excl loans under receivership)","50.42","50.70","51.30","51.68","52.29","51.17","50.81","51.11","50.82","52.72","53.30","54.12"
"2019","Core Liquid Assets to Short-term Liabilities  (%)","31.14","30.60","29.68","28.91","30.47","30.56","30.26","30.10","31.91","30.18","28.59","30.47"
"2019","Core Liquid Assets to Total Assets  (%)","23.86","23.46","22.97","22.50","23.55","23.92","23.42","23.31","24.61","23.27","22.17","23.97"
