"Year","Variables","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2023","Money Supply_Total Liquidity (M2+) (Millions of Ghana Cedis)","196,993.67","201,602.75","206,824.35","207,528.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Money Supply_ Narrow Money  (M1) (Millions of Ghana Cedis)","91,213.65","92,444.84","94,959.70","97,523.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Money Supply_Broad Money (M2) (Millions of Ghana Cedis)","139,966.12","143,732.50","148,131.00","150,496.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Money Supply_Reserve Money (RM) (Millions of Ghana Cedis)","62,752.24","66,660.76","57,840.77","69,161.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Total Liabilities of the Bankning System (Millions of Ghana Cedis)","196,993.67","201,602.75","206,824.35","207,528.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Money Supply Component_Foreign currency deposits (Millions of Ghana Cedis)","57,027.55","58,379.75","58,855.41","57,032.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Money Supply Component_Demand deposits (Millions of Ghana Cedis)","60,202.67","61,439.02","63,765.13","66,184.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Money Supply Component_Savings & Time deposits (Millions of Ghana Cedis)","48,752.47","51,287.66","53,171.31","52,973.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Money Supply Component_Currency outside banks (Millions of Ghana Cedis)","31,010.97","31,005.82","31,194.57","31,338.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Total Assets of the Banking System  (Millions of Ghana Cedis)","196,993.67","201,602.75","206,824.35","207,528.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Net Domestic Assets_Other Items (net) (Millions of Ghana Cedis)","-7,604.16","-10,035.84","-1,608.81","-2,615.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Net Domestic Assets_Govt. Deposits (Millions of Ghana Cedis)","-10,943.60","-13,327.31","-11,560.83","25,570.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise (Millions of Ghana Cedis)","81,246.78","76,412.93","76,208.82","74,857.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Net Domestic Assets_Claims on Govt. (Millions of Ghana Cedis)","124,463.84","132,736.92","132,669.66","171,248.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Net Foreign Assets_BOG (Millions of Ghana Cedis)","-21,311.29","-21,494.37","-23,944.40","-22,970.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2023","Net Foreign Assets_DMBs (Millions of Ghana Cedis)","9,254.91","10,655.80","11,938.25","12,578.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
