"Year","Variables","First Quarter","Second Quarter","Third Quarter","Fourth Quarter"
"2023","Merchandise Imports_Non-oil (Millions of US Dollars)","-2,081.06","0.00","0.00","0.00"
"2023","Merchandise Imports_Oil & Gas (Millions of US Dollars)","-909.90","0.00","0.00","0.00"
"2023","Balance on Services, Income and Transfers (Millions of US Dollars)","-713.93","0.00","0.00","0.00"
"2023","Services (net) (Millions of US Dollars)","-1,108.34","0.00","0.00","0.00"
"2023","Services_Inflows (Millions of US Dollars)","2,103.38","0.00","0.00","0.00"
"2023","Services_Outflows (Millions of US Dollars)","-3,211.72","0.00","0.00","0.00"
"2023","Income (net) (Millions of US Dollars)","-581.97","0.00","0.00","0.00"
"2023","Income_Inflows (Millions of US Dollars)","88.50","0.00","0.00","0.00"
"2023","Income_Outflows (Millions of US Dollars)","-670.47","0.00","0.00","0.00"
"2023","Transfers (net) (Millions of US Dollars)","976.38","0.00","0.00","0.00"
"2023","Transfers_Private (net) (Millions of US Dollars)","976.38","0.00","0.00","0.00"
"2023","Transfers_Official (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2023","Financial and Capital Account (Millions of US Dollars)","-955.60","0.00","0.00","0.00"
"2023","Capital (net) (Millions of US Dollars)","35.53","0.00","0.00","0.00"
"2023","Direct investments (Millions of US Dollars)","301.01","0.00","0.00","0.00"
"2023","Other investments (Millions of US Dollars)","-1,292.14","0.00","0.00","0.00"
"2023","Net Errors and Omissions (Millions of US Dollars)","-59.62","0.00","0.00","0.00"
"2023","Overall Balance (Millions of US Dollars)","-353.84","0.00","0.00","0.00"
"2023","Reserves and Related Items (Millions of US Dollars)","353.84","0.00","0.00","0.00"
"2023","Reserves_Changes in International Reserves (Millions of US Dollars)","353.84","0.00","0.00","0.00"
"2023","Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2023","Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2023","Reserves_Other Reserve Changes (Millions of US Dollars)","353.84","0.00","0.00","0.00"
"2023","Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2023","Merchandise Imports (f.o.b) (Millions of US Dollars)","-2,990.96","0.00","0.00","0.00"
"2023","Merchandise Exports_Other Exports (Millions of US Dollars)","751.03","0.00","0.00","0.00"
"2023","Merchandise Exports_Crude Oil  (Millions of US Dollars)","852.52","0.00","0.00","0.00"
"2023","Merchandise Exports_Timber & Timber Products (Millions of US Dollars)","32.07","0.00","0.00","0.00"
"2023","Merchandise Exports_Gold (Millions of US Dollars)","1,706.91","0.00","0.00","0.00"
"2023","Merchandise Exports_Cocoa beans & Products (Millions of US Dollars)","1,023.73","0.00","0.00","0.00"
"2023","Merchandise Exports (f.o.b) Millions of US Dollars)","4,366.27","0.00","0.00","0.00"
"2023","Merchandise Trade Balance (Millions of US Dollars)","1,375.31","0.00","0.00","0.00"
"2023","Current Account (Millions of US Dollars)","661.37","0.00","0.00","0.00"
"2022","Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2022","Reserves_Other Reserve Changes (Millions of US Dollars)","934.46","1,562.61","912.68","229.78"
"2022","Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2022","Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2022","Reserves_Changes in International Reserves (Millions of US Dollars)","934.46","1,562.61","912.68","229.78"
"2022","Reserves and Related Items (Millions of US Dollars)","934.46","1,562.61","912.68","229.78"
"2022","Net Errors and Omissions (Millions of US Dollars)","71.34","-115.32","63.01","-0.34"
"2022","Overall Balance (Millions of US Dollars)","-934.46","-1,562.61","-912.68","-229.78"
"2022","Other investments (Millions of US Dollars)","-915.63","-1,303.91","-640.58","-895.82"
"2022","Capital (net) (Millions of US Dollars)","30.93","60.02","25.10","26.06"
"2022","Direct investments (Millions of US Dollars)","433.30","354.07","363.08","322.12"
"2022","Financial and Capital Account (Millions of US Dollars)","-451.40","-889.82","-252.40","-547.64"
"2022","Transfers_Official (net) (Millions of US Dollars)","0.14","0.00","0.00","0.06"
"2022","Transfers_Private (net) (Millions of US Dollars)","880.44","691.60","910.94","1,089.76"
"2022","Transfers (net) (Millions of US Dollars)","880.58","691.60","910.94","1,089.82"
"2022","Income_Inflows (Millions of US Dollars)","198.69","205.72","185.04","260.05"
"2022","Income_Outflows (Millions of US Dollars)","-1,434.80","-1,308.08","-1,224.99","-1,386.76"
"2022","Income (net) (Millions of US Dollars)","-1,236.11","-1,102.36","-1,039.95","-1,126.71"
"2022","Services_Outflows (Millions of US Dollars)","-3,187.33","-2,810.48","-2,768.03","-2,941.73"
"2022","Services (net) (Millions of US Dollars)","-1,071.70","-748.21","-731.11","-906.86"
"2022","Services_Inflows (Millions of US Dollars)","2,115.62","2,062.27","2,036.91","2,034.87"
"2022","Merchandise Imports_Oil & Gas (Millions of US Dollars)","-978.74","-1,239.75","-1,471.60","-936.52"
"2022","Balance on Services, Income and Transfers (Millions of US Dollars)","-1,427.23","-1,158.97","-860.12","-943.75"
"2022","Merchandise Imports_Non-oil (Millions of US Dollars)","-2,566.17","-2,618.06","-2,592.70","-2,217.68"
"2022","Merchandise Exports_Timber & Timber Products (Millions of US Dollars)","33.69","44.29","45.94","37.49"
"2022","Merchandise Exports_Other Exports (Millions of US Dollars)","779.49","744.94","764.30","707.49"
"2022","Merchandise Imports (f.o.b) (Millions of US Dollars)","-3,544.92","-3,857.81","-4,064.30","-3,154.20"
"2022","Merchandise Exports_Crude Oil  (Millions of US Dollars)","1,340.43","1,493.05","1,336.88","1,258.26"
"2022","Merchandise Exports_Cocoa beans & Products (Millions of US Dollars)","890.52","525.27","277.64","606.26"
"2022","Merchandise Exports_Gold (Millions of US Dollars)","1,373.62","1,651.77","1,776.38","1,806.66"
"2022","Merchandise Exports (f.o.b) Millions of US Dollars)","4,417.75","4,459.31","4,201.14","4,416.16"
"2022","Current Account (Millions of US Dollars)","-554.39","-557.47","-723.28","318.21"
"2022","Merchandise Trade Balance (Millions of US Dollars)","872.84","601.50","136.84","1,261.95"
"2021","BOP_Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2021","BOP_Reserves_Other Reserve Changes (Millions of US Dollars)","429.93","-2,799.68","685.05","1,174.57"
"2021","BOP_Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2021","BOP_Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2021","BOP_Reserves_Changes in International Reserves (Millions of US Dollars)","429.93","-2,799.68","685.05","1,174.57"
"2021","BOP_Reserves and Related Items (Millions of US Dollars)","429.93","-2,799.68","685.05","1,174.57"
"2021","BOP_Overall Balance (Millions of US Dollars)","-429.93","2,799.68","-685.05","-1,174.57"
